"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical","Security","L1"
"Azure.ACR.AnonymousAccess","Anonymous pull access allows unidentified downloading of images and metadata from a container registry.","Important","Security","-"
"Azure.ACR.ContainerScan","Container images or their base images may have vulnerabilities discovered after they are built.","Critical","Security","-"
"Azure.ACR.ExportPolicy","Export policy on Azure container registry may allow artifact exfiltration.","Important","Security","-"
"Azure.ACR.Firewall","Container Registry without restrictions can be accessed from any network location including the Internet.","Important","Security","-"
"Azure.ACR.ImageHealth","Remove container images with known vulnerabilities.","Critical","Security","L2"
"Azure.ADX.DiskEncryption","Use disk encryption for Azure Data Explorer (ADX) clusters.","Important","Security","L1"
"Azure.ADX.ManagedIdentity","Configure Data Explorer clusters to use managed identities to access Azure resources securely.","Important","Security","L1"
"Azure.AI.DisableLocalAuth","Access keys allow depersonalized access to Azure AI using a shared secret.","Important","Security","L1"
"Azure.AI.ManagedIdentity","Configure managed identities to access Azure resources.","Important","Security","L1"
"Azure.AI.PrivateEndpoints","Use Private Endpoints to access Azure AI services accounts.","Important","Security","-"
"Azure.AI.PublicAccess","Restrict access of Azure AI services to authorized virtual networks.","Important","Security","-"
"Azure.AKS.AuditLogs","AKS clusters should collect security-based audit logs to assess and monitor the compliance status of workloads.","Important","Security","L1"
"Azure.AKS.AuthorizedIPs","Restrict access to API server endpoints to authorized IP addresses.","Important","Security","-"
"Azure.AKS.AutoUpgrade","New versions of Kubernetes are released regularly. Upgrading each release manually can add operational overhead without realizing equivalent value.","Important","Security","-"
"Azure.AKS.AzurePolicyAddOn","Configure Azure Kubernetes Service (AKS) clusters to use Azure Policy Add-on for Kubernetes.","Important","Security","-"
"Azure.AKS.AzureRBAC","Use Azure RBAC for Kubernetes Authorization with AKS clusters.","Important","Security","-"
"Azure.AKS.ContainerInsights","Enable Container insights to monitor AKS cluster workloads.","Important","Operational Excellence","-"
"Azure.AKS.HttpAppRouting","Disable HTTP application routing add-on in AKS clusters.","Important","Security","-"
"Azure.AKS.LocalAccounts","Enforce named user accounts with RBAC assigned permissions.","Important","Security","L1"
"Azure.AKS.ManagedAAD","Use AKS-managed Azure AD to simplify authorization and improve security.","Important","Security","L1"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important","Security","L1"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important","Security","-"
"Azure.AKS.PlatformLogs","AKS clusters should collect platform diagnostic logs to monitor the state of workloads.","Important","Operational Excellence","-"
"Azure.AKS.SecretStore","Deploy AKS clusters with Secrets Store CSI Driver and store Secrets in Key Vault.","Important","Security","-"
"Azure.AKS.SecretStoreRotation","Enable autorotation of Secrets Store CSI Driver secrets for AKS clusters.","Important","Security","-"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important","Security","-"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important","Reliability","-"
"Azure.APIM.Ciphers","API Management should not accept weak or deprecated ciphers for client or backend communication.","Critical","Security","L1"
"Azure.APIM.DefenderCloud","APIs published in Azure API Management should be onboarded to Microsoft Defender for APIs.","Critical","Security","-"
