"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical","Security","L1"
"Azure.ACR.ContainerScan","Container images or their base images may have vulnerabilities discovered after they are built.","Critical","Security","-"
"Azure.ACR.Firewall","Container Registry without restrictions can be accessed from any network location including the Internet.","Important","Security","-"
"Azure.ACR.ImageHealth","Remove container images with known vulnerabilities.","Critical","Security","L2"
"Azure.ACR.MinSku","The Basic SKU provides limited performance and features for production container registry workloads.","Important","Reliability","-"
"Azure.ACR.Name","Container registry names should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.ACR.Usage","Regularly remove deprecated and unneeded images to reduce storage usage.","Important","Cost Optimization","-"
"Azure.ADX.DiskEncryption","Use disk encryption for Azure Data Explorer (ADX) clusters.","Important","Security","L1"
"Azure.ADX.ManagedIdentity","Configure Data Explorer clusters to use managed identities to access Azure resources securely.","Important","Security","L1"
"Azure.ADX.SLA","Use SKUs that include an SLA when configuring Azure Data Explorer (ADX) clusters.","Important","Reliability","-"
"Azure.ADX.Usage","Regularly remove unused resources to reduce costs.","Important","Cost Optimization","-"
"Azure.AI.DisableLocalAuth","Access keys allow depersonalized access to Azure AI using a shared secret.","Important","Security","L1"
"Azure.AI.ManagedIdentity","Configure managed identities to access Azure resources.","Important","Security","L1"
"Azure.AI.PrivateEndpoints","Use Private Endpoints to access Azure AI services accounts.","Important","Security","-"
"Azure.AI.PublicAccess","Restrict access of Azure AI services to authorized virtual networks.","Important","Security","-"
"Azure.AKS.AuditLogs","AKS clusters should collect security-based audit logs to assess and monitor the compliance status of workloads.","Important","Security","L1"
"Azure.AKS.AuthorizedIPs","Restrict access to API server endpoints to authorized IP addresses.","Important","Security","-"
"Azure.AKS.AutoScaling","Use autoscaling to scale clusters based on workload requirements.","Important","Performance Efficiency","-"
"Azure.AKS.AutoUpgrade","New versions of Kubernetes are released regularly. Upgrading each release manually can add operational overhead without realizing equivalent value.","Important","Security","-"
"Azure.AKS.AvailabilityZone","AKS clusters deployed with virtual machine scale sets should use availability zones in supported regions for high availability.","Important","Reliability","-"
"Azure.AKS.AzurePolicyAddOn","Configure Azure Kubernetes Service (AKS) clusters to use Azure Policy Add-on for Kubernetes.","Important","Security","-"
"Azure.AKS.AzureRBAC","Use Azure RBAC for Kubernetes Authorization with AKS clusters.","Important","Security","-"
"Azure.AKS.CNISubnetSize","AKS clusters using Azure CNI should use large subnets to reduce IP exhaustion issues.","Important","Reliability","-"
"Azure.AKS.ContainerInsights","Enable Container insights to monitor AKS cluster workloads.","Important","Operational Excellence","-"
"Azure.AKS.DefenderProfile","Enable the Defender profile with Azure Kubernetes Service (AKS) cluster.","Important","Security","-"
"Azure.AKS.DNSPrefix","Azure Kubernetes Service (AKS) cluster DNS prefix should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AKS.EphemeralOSDisk","AKS clusters should use ephemeral OS disks which can provide lower read/write latency, along with faster node scaling and cluster upgrades.","Important","Performance Efficiency","-"
"Azure.AKS.HttpAppRouting","Disable HTTP application routing add-on in AKS clusters.","Important","Security","-"
"Azure.AKS.LocalAccounts","Enforce named user accounts with RBAC assigned permissions.","Important","Security","L1"
"Azure.AKS.ManagedAAD","Use AKS-managed Azure AD to simplify authorization and improve security.","Important","Security","L1"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important","Security","L1"
"Azure.AKS.MinNodeCount","AKS clusters should have minimum number of system nodes for failover and updates.","Important","Reliability","-"
"Azure.AKS.MinUserPoolNodes","User node pools in an AKS cluster should have a minimum number of nodes for failover and updates.","Important","Reliability","-"
"Azure.AKS.Name","Azure Kubernetes Service (AKS) cluster names should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important","Security","-"
"Azure.AKS.NodeMinPods","Azure Kubernetes Cluster (AKS) nodes should use a minimum number of pods.","Important","Performance Efficiency","-"
"Azure.AKS.PlatformLogs","AKS clusters should collect platform diagnostic logs to monitor the state of workloads.","Important","Operational Excellence","-"
"Azure.AKS.PoolScaleSet","Deploy AKS clusters with nodes pools based on VM scale sets.","Important","Performance Efficiency","-"
"Azure.AKS.PoolVersion","AKS node pools should match Kubernetes control plane version.","Important","Reliability","-"
"Azure.AKS.SecretStore","Deploy AKS clusters with Secrets Store CSI Driver and store Secrets in Key Vault.","Important","Security","-"
"Azure.AKS.SecretStoreRotation","Enable autorotation of Secrets Store CSI Driver secrets for AKS clusters.","Important","Security","-"
"Azure.AKS.StandardLB","Azure Kubernetes Clusters (AKS) should use a Standard load balancer SKU.","Important","Performance Efficiency","-"
"Azure.AKS.UptimeSLA","AKS clusters should have Uptime SLA enabled for a financially backed SLA.","Important","Reliability","-"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important","Security","-"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important","Reliability","-"
"Azure.APIM.APIDescriptors","APIs should have a display name and description.","Awareness","Operational Excellence","-"
"Azure.APIM.CertificateExpiry","Renew certificates used for custom domain bindings.","Important","Reliability","-"
"Azure.APIM.Ciphers","API Management should not accept weak or deprecated ciphers for client or backend communication.","Critical","Security","L1"
"Azure.APIM.CORSPolicy","Avoid using wildcard for any configuration option in CORS policies.","Important","Security","-"
"Azure.APIM.DefenderCloud","APIs published in Azure API Management should be onboarded to Microsoft Defender for APIs.","Critical","Security","-"
"Azure.APIM.EncryptValues","Encrypt all API Management named values with Key Vault secrets.","Important","Security","-"
"Azure.APIM.HTTPBackend","Unencrypted communication could allow disclosure of information to an untrusted party.","Critical","Security","L1"
"Azure.APIM.HTTPEndpoint","Unencrypted communication could allow disclosure of information to an untrusted party.","Important","Security","L1"
"Azure.APIM.ManagedIdentity","Configure managed identities to access Azure resources.","Important","Security","L1"
"Azure.APIM.MinAPIVersion","API Management instances should limit control plane API calls to API Management with version '2021-08-01' or newer.","Important","Operational Excellence","-"
"Azure.APIM.MultiRegionGateway","API Management instances should have multi-region deployment gateways enabled.","Important","Reliability","-"
"Azure.APIM.Name","API Management service names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.APIM.PolicyBase","Base element for any policy element in a section should be configured.","Important","Security","-"
"Azure.APIM.ProductApproval","Configure products to require approval.","Important","Security","-"
"Azure.APIM.ProductDescriptors","API Management products should have a display name and description.","Awareness","Operational Excellence","-"
"Azure.APIM.ProductSubscription","Configure products to require a subscription.","Important","Security","-"
"Azure.APIM.Protocols","API Management should only accept a minimum of TLS 1.2 for client and backend communication.","Critical","Security","L1"
"Azure.APIM.SampleProducts","API Management Services with default products configured may expose more APIs than intended.","Awareness","Security","-"
"Azure.AppConfig.AuditLogs","Ensure app configuration store audit diagnostic logs are enabled.","Important","Security","L1"
"Azure.AppConfig.DisableLocalAuth","Access keys allow depersonalized access to App Configuration using a shared secret.","Important","Security","L1"
"Azure.AppConfig.GeoReplica","Replicate app configuration store across all points of presence for an application.","Important","Reliability","-"
"Azure.AppConfig.Name","App Configuration store names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppConfig.PurgeProtect","Consider purge protection for app configuration store to ensure store cannot be purged in the retention period.","Important","Reliability","-"
"Azure.AppConfig.SKU","App Configuration should use a minimum size of Standard.","Important","Reliability","-"
"Azure.AppGw.AvailabilityZone","Application Gateway (App Gateway) should use availability zones in supported regions for improved resiliency.","Important","Reliability","-"
"Azure.AppGw.MigrateV2","Use a Application Gateway v2 SKU.","Important","Operational Excellence","-"
"Azure.AppGw.MinInstance","Application Gateways should use a minimum of two instances.","Important","Reliability","-"
