"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACR.GeoReplica","Applications or infrastructure relying on a container image may fail if the registry is not available at the time they start.","Important","Reliability","-"
"Azure.ACR.MinSku","The Basic SKU provides limited performance and features for production container registry workloads.","Important","Reliability","-"
"Azure.ADX.SLA","Use SKUs that include an SLA when configuring Azure Data Explorer (ADX) clusters.","Important","Reliability","-"
"Azure.AKS.AvailabilityZone","AKS clusters deployed with virtual machine scale sets should use availability zones in supported regions for high availability.","Important","Reliability","-"
"Azure.AKS.CNISubnetSize","AKS clusters using Azure CNI should use large subnets to reduce IP exhaustion issues.","Important","Reliability","-"
"Azure.AKS.MaintenanceWindow","Configure customer-controlled maintenance windows for AKS clusters.","Important","Reliability","-"
"Azure.AKS.MinNodeCount","AKS clusters should have minimum number of system nodes for failover and updates.","Important","Reliability","-"
"Azure.AKS.MinUserPoolNodes","User node pools in an AKS cluster should have a minimum number of nodes for failover and updates.","Important","Reliability","-"
"Azure.AKS.PoolVersion","AKS node pools should match Kubernetes control plane version.","Important","Reliability","-"
"Azure.AKS.UptimeSLA","AKS clusters should have Uptime SLA enabled for a financially backed SLA.","Important","Reliability","-"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important","Reliability","-"
"Azure.APIM.AvailabilityZone"," API Management instances should use availability zones in supported regions for high availability.","Important","Reliability","-"
"Azure.APIM.CertificateExpiry","Renew certificates used for custom domain bindings.","Important","Reliability","-"
"Azure.APIM.MultiRegion","Enhance service availability and resilience by deploying API Management instances across multiple regions.","Important","Reliability","-"
"Azure.APIM.MultiRegionGateway","API Management instances should have multi-region deployment gateways enabled.","Important","Reliability","-"
"Azure.AppConfig.GeoReplica","Replicate app configuration store across all points of presence for an application.","Important","Reliability","-"
"Azure.AppConfig.PurgeProtect","Consider purge protection for app configuration store to ensure store cannot be purged in the retention period.","Important","Reliability","-"
"Azure.AppConfig.SKU","App Configuration should use a minimum size of Standard.","Important","Reliability","-"
"Azure.AppGw.AvailabilityZone","Application Gateway (App Gateway) should use availability zones in supported regions for improved resiliency.","Important","Reliability","-"
"Azure.AppGw.MigrateWAFPolicy","Migrate to Application Gateway WAF policy.","Critical","Reliability","-"
"Azure.AppGw.MinInstance","Application Gateways should use a minimum of two instances.","Important","Reliability","-"
"Azure.AppService.AlwaysOn","Configure Always On for App Service apps.","Important","Reliability","-"
"Azure.AppService.AvailabilityZone","Deploy app service plan instances using availability zones in supported regions to ensure high availability and resilience.","Important","Reliability","-"
"Azure.AppService.PlanInstanceCount","App Service Plan should use a minimum number of instances for failover.","Important","Reliability","-"
"Azure.AppService.WebProbe","Configure and enable instance health probes.","Important","Reliability","-"
"Azure.AppService.WebProbePath","Configure a dedicated path for health probe requests.","Important","Reliability","-"
"Azure.ASE.AvailabilityZone","Deploy app service environments using availability zones in supported regions to ensure high availability and resilience.","Important","Reliability","-"
"Azure.AVD.ScheduleAgentUpdate","Define a windows for agent updates to minimize disruptions to users.","Important","Reliability","-"
"Azure.ContainerApp.AvailabilityZone","Use Container Apps environments that are zone redundant to improve reliability.","Important","Reliability","-"
"Azure.ContainerApp.MinReplicas","Use multiple replicas to remove a single point of failure.","Important","Reliability","-"
"Azure.ContainerApp.Storage","Use of Azure Files volume mounts to persistent storage container data.","Awareness","Reliability","-"
"Azure.Cosmos.AvailabilityZone","Use zone redundant Cosmos DB accounts in supported regions to improve reliability.","Important","Reliability","L1"
"Azure.Cosmos.ContinuousBackup","Enable continuous backup on Cosmos DB accounts.","Important","Reliability","-"
"Azure.Cosmos.MongoAvailabilityZone","Use zone redundant Cosmos DB vCore clusters in supported regions to improve reliability.","Important","Reliability","L1"
"Azure.Cosmos.SLA","Use a paid tier to qualify for a Service Level Agreement (SLA).","Important","Reliability","-"
"Azure.DataFactory.Version","Consider migrating to DataFactory v2.","Awareness","Reliability","-"
"Azure.EntraDS.MinReplicas","Applications or infrastructure relying on a managed domain may fail if the domain is not available.","Important","Reliability","-"
"Azure.EntraDS.SKU","The default SKU for Microsoft Entra Domain Services supports resiliency in a single region.","Important","Reliability","-"
"Azure.EventHub.AvailabilityZone","Use zone redundant Event Hub namespaces in supported regions to improve reliability.","Important","Reliability","L1"
"Azure.Firewall.AvailabilityZone","Deploy firewall instances using availability zones in supported regions to ensure high availability and resilience.","Important","Reliability","-"
"Azure.FrontDoor.Probe","Use health probes to check the health of each backend.","Important","Reliability","-"
"Azure.FrontDoor.ProbeMethod","Configure health probes to use HEAD requests to reduce performance overhead.","Important","Reliability","-"
"Azure.FrontDoor.ProbePath","Configure a dedicated path for health probe requests.","Important","Reliability","-"
"Azure.Grafana.AvailabilityZone","Use zone redundant Grafana workspaces in supported regions to improve reliability.","Important","Reliability","L1"
"Azure.Grafana.Version","Grafana workspaces should be on Grafana version 10.","Important","Reliability","-"
"Azure.KeyVault.PurgeProtect","Enable Purge Protection on Key Vaults to prevent early purge of vaults and vault items.","Important","Reliability","-"
"Azure.KeyVault.SoftDelete","Enable Soft Delete on Key Vaults to protect vaults and vault items from accidental deletion.","Important","Reliability","-"
"Azure.LB.AvailabilityZone","Load balancers deployed with Standard SKU should be zone-redundant for high availability.","Important","Reliability","-"
"Azure.LB.Probe","Use a specific probe for web protocols.","Important","Reliability","-"
"Azure.LB.StandardSKU","Load balancers should be deployed with Standard SKU for production workloads.","Important","Reliability","-"
"Azure.Log.Replication","Log Analytics workspaces should have workspace replication enabled to improve service availability.","Important","Reliability","-"
"Azure.MariaDB.GeoRedundantBackup","Azure Database for MariaDB should store backups in a geo-redundant storage.","Important","Reliability","-"
"Azure.MICassandra.AvailabilityZone","Use zone redundant Managed Instance for Apache Cassandra clusters in supported regions to improve reliability.","Important","Reliability","L1"
"Azure.Monitor.ServiceHealth","Configure Service Health alerts to notify administrators.","Important","Reliability","-"
"Azure.MySQL.GeoRedundantBackup","Azure Database for MySQL should store backups in a geo-redundant storage.","Important","Reliability","-"
"Azure.MySQL.MaintenanceWindow","Configure a customer-controlled maintenance window for Azure Database for MySQL servers.","Important","Reliability","-"
"Azure.MySQL.UseFlexible","Use Azure Database for MySQL Flexible Server deployment model.","Important","Reliability","-"
"Azure.MySQL.ZoneRedundantHA","Deploy Azure Database for MySQL servers using zone-redundant high availability (HA) in supported regions to ensure high availability and resilience.","Important","Reliability","-"
"Azure.NIC.UniqueDns","Network interfaces (NICs) should inherit DNS from virtual networks.","Awareness","Reliability","-"
"Azure.NSG.DenyAllInbound","When all inbound traffic is denied, some functions that affect the reliability of your service may not work as expected.","Important","Reliability","-"
"Azure.PostgreSQL.GeoRedundantBackup","Azure Database for PostgreSQL should store backups in a geo-redundant storage.","Important","Reliability","-"
