"Name","Synopsis","Severity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical"
"Azure.ACR.MinSku","The Basic SKU provides limited performance and features for production container registry workloads.","Important"
"Azure.ACR.Name","Container registry names should meet naming requirements.","Awareness"
"Azure.AKS.DNSPrefix","Azure Kubernetes Service (AKS) cluster DNS prefix should meet naming requirements.","Awareness"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important"
"Azure.AKS.MinNodeCount","AKS clusters should have minimum number of system nodes for failover and updates.","Important"
"Azure.AKS.Name","Azure Kubernetes Service (AKS) cluster names should meet naming requirements.","Awareness"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important"
"Azure.AKS.NodeMinPods","Azure Kubernetes Cluster (AKS) nodes should use a minimum number of pods.","Important"
"Azure.AKS.PoolScaleSet","Deploy AKS clusters with nodes pools based on VM scale sets.","Important"
"Azure.AKS.PoolVersion","AKS node pools should match Kubernetes control plane version.","Important"
"Azure.AKS.StandardLB","Azure Kubernetes Clusters (AKS) should use a Standard load balancer SKU.","Important"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important"
"Azure.APIM.APIDescriptors","APIs should have a display name and description.","Awareness"
"Azure.APIM.CertificateExpiry","Renew certificates used for custom domain bindings.","Important"
"Azure.APIM.HTTPBackend","Unencrypted communication could allow disclosure of information to an untrusted party.","Critical"
"Azure.APIM.HTTPEndpoint","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.APIM.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.APIM.Name","API Management service names should meet naming requirements.","Awareness"
"Azure.APIM.ProductApproval","Configure products to require approval.","Important"
"Azure.APIM.ProductDescriptors","API Management products should have a display name and description.","Awareness"
"Azure.APIM.ProductSubscription","Configure products to require a subscription.","Important"
"Azure.APIM.Protocols","API Management should only accept a minimum of TLS 1.2 for client and backend communication.","Critical"
"Azure.APIM.SampleProducts","API Management Services with default products configured may expose more APIs than intended.","Awareness"
"Azure.AppGw.MinInstance","Application Gateways should use a minimum of two instances.","Important"
"Azure.AppGw.MinSku","Application Gateway should use a minimum instance size of Medium.","Important"
"Azure.AppGw.OWASP","Application Gateway Web Application Firewall (WAF) should use OWASP 3.x rules.","Important"
"Azure.AppGw.Prevention","Internet exposed Application Gateways should use prevention mode to protect backend resources.","Critical"
"Azure.AppGw.SSLPolicy","Application Gateway should only accept a minimum of TLS 1.2.","Critical"
"Azure.AppGw.UseWAF","Internet accessible Application Gateways should use protect endpoints with WAF.","Critical"
"Azure.AppGw.WAFEnabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical"
"Azure.AppGw.WAFRules","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Important"
"Azure.AppService.ARRAffinity","Disable client affinity for stateless services.","Awareness"
"Azure.AppService.MinPlan","Use at least a Standard App Service Plan.","Important"
"Azure.AppService.MinTLS","App Service should not accept weak or deprecated transport protocols for client-server communication.","Critical"
"Azure.AppService.PlanInstanceCount","App Service Plan should use a minimum number of instances for failover.","Important"
"Azure.AppService.UseHTTPS","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.Automation.EncryptVariables","Azure Automation variables should be encrypted.","Important"
"Azure.Automation.WebHookExpiry","Do not create webhooks with an expiry time greater than 1 year (default).","Awareness"
"Azure.CDN.EndpointName","Azure CDN Endpoint names should meet naming requirements.","Awareness"
"Azure.CDN.HTTP","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.CDN.MinTLS","Azure CDN endpoints should reject TLS versions older than 1.2.","Important"
"Azure.DataFactory.Version","Consider migrating to DataFactory v2.","Awareness"
"Azure.DefenderCloud.Provisioning","Enable auto-provisioning on to improve Microsoft Defender for Cloud insights.","Important"
"Azure.Firewall.Mode","Deny high confidence malicious IP addresses and domains on classic managed Azure Firewalls.","Critical"
"Azure.FrontDoor.MinTLS","Front Door Classic instances should reject TLS versions older than 1.2.","Critical"
"Azure.FrontDoor.Name","Front Door names should meet naming requirements.","Awareness"
"Azure.FrontDoor.State","Enable Azure Front Door Classic instance.","Important"
"Azure.FrontDoor.UseWAF","Enable Web Application Firewall (WAF) policies on each Front Door endpoint.","Critical"
"Azure.FrontDoor.WAF.Enabled","Front Door Web Application Firewall (WAF) policy must be enabled to protect back end resources.","Critical"
"Azure.FrontDoor.WAF.Mode","Use protection mode in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.Group.Name","Azure Resource Manager (ARM) has requirements for Resource Groups names.","Awareness"
"Azure.KeyVault.AccessPolicy","Use the principal of least privilege when assigning access to Key Vault.","Important"
"Azure.KeyVault.Logs","Ensure audit diagnostics logs are enabled to audit Key Vault access.","Important"
"Azure.KeyVault.PurgeProtect","Enable Purge Protection on Key Vaults to prevent early purge of vaults and vault items.","Important"
"Azure.KeyVault.SoftDelete","Enable Soft Delete on Key Vaults to protect vaults and vault items from accidental deletion.","Important"
"Azure.LB.Name","Load Balancer names should meet naming requirements.","Awareness"
"Azure.LB.Probe","Use a specific probe for web protocols.","Important"
"Azure.Monitor.ServiceHealth","Configure Service Health alerts to notify administrators.","Important"
"Azure.MySQL.AllowAzureAccess","Determine if access from Azure services is required.","Important"
