"Name","Synopsis","Severity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical"
"Azure.ACR.AnonymousAccess","Anonymous pull access allows unidentified downloading of images and metadata from a container registry.","Important"
"Azure.ACR.ContainerScan","Container images or their base images may have vulnerabilities discovered after they are built.","Critical"
"Azure.ACR.Firewall","Container Registry without restrictions can be accessed from any network location including the Internet.","Important"
"Azure.ACR.ImageHealth","Remove container images with known vulnerabilities.","Critical"
"Azure.ACR.ReplicaLocation","The replication location determines the country or region where container images and metadata are stored and processed.","Important"
"Azure.ADX.DiskEncryption","Use disk encryption for Azure Data Explorer (ADX) clusters.","Important"
"Azure.ADX.ManagedIdentity","Configure Data Explorer clusters to use managed identities to access Azure resources securely.","Important"
"Azure.AI.DisableLocalAuth","Access keys allow depersonalized access to Azure AI using a shared secret.","Important"
"Azure.AI.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.AI.PrivateEndpoints","Use Private Endpoints to access Azure AI services accounts.","Important"
"Azure.AI.PublicAccess","Restrict access of Azure AI services to authorized virtual networks.","Important"
"Azure.AKS.AuditLogs","AKS clusters should collect security-based audit logs to assess and monitor the compliance status of workloads.","Important"
"Azure.AKS.AuthorizedIPs","Restrict access to API server endpoints to authorized IP addresses.","Important"
"Azure.AKS.AutoUpgrade","New versions of Kubernetes are released regularly. Upgrading each release manually can add operational overhead without realizing equivalent value.","Important"
"Azure.AKS.AzurePolicyAddOn","Configure Azure Kubernetes Service (AKS) clusters to use Azure Policy Add-on for Kubernetes.","Important"
"Azure.AKS.AzureRBAC","Use Azure RBAC for Kubernetes Authorization with AKS clusters.","Important"
"Azure.AKS.DefenderProfile","Enable the Defender profile with Azure Kubernetes Service (AKS) cluster.","Important"
"Azure.AKS.HttpAppRouting","Disable HTTP application routing add-on in AKS clusters.","Important"
"Azure.AKS.LocalAccounts","Enforce named user accounts with RBAC assigned permissions.","Important"
"Azure.AKS.ManagedAAD","Use AKS-managed Azure AD to simplify authorization and improve security.","Important"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important"
"Azure.AKS.NodeAutoUpgrade","Operating system (OS) security updates should be applied to AKS nodes and rebooted as required to address security vulnerabilities.","Important"
"Azure.AKS.SecretStore","Deploy AKS clusters with Secrets Store CSI Driver and store Secrets in Key Vault.","Important"
"Azure.AKS.SecretStoreRotation","Enable autorotation of Secrets Store CSI Driver secrets for AKS clusters.","Important"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important"
"Azure.APIM.Ciphers","API Management should not accept weak or deprecated ciphers for client or backend communication.","Critical"
"Azure.APIM.CORSPolicy","Avoid using wildcard for any configuration option in CORS policies.","Important"
"Azure.APIM.DefenderCloud","APIs published in Azure API Management should be onboarded to Microsoft Defender for APIs.","Critical"
"Azure.APIM.EncryptValues","Encrypt all API Management named values with Key Vault secrets.","Important"
"Azure.APIM.HTTPBackend","Unencrypted communication could allow disclosure of information to an untrusted party.","Critical"
"Azure.APIM.HTTPEndpoint","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.APIM.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.APIM.PolicyBase","Base element for any policy element in a section should be configured.","Important"
"Azure.APIM.ProductApproval","Configure products to require approval.","Important"
"Azure.APIM.ProductSubscription","Configure products to require a subscription.","Important"
"Azure.APIM.Protocols","API Management should only accept a minimum of TLS 1.2 for client and backend communication.","Critical"
"Azure.APIM.SampleProducts","API Management Services with default products configured may expose more APIs than intended.","Awareness"
"Azure.AppConfig.AuditLogs","Ensure app configuration store audit diagnostic logs are enabled.","Important"
"Azure.AppConfig.DisableLocalAuth","Access keys allow depersonalized access to App Configuration using a shared secret.","Important"
"Azure.AppConfig.SecretLeak","Secrets stored as key values in an App Configuration Store may be leaked to unauthorized users.","Critical"
"Azure.AppGw.OWASP","Application Gateway Web Application Firewall (WAF) should use OWASP 3.x rules.","Important"
"Azure.AppGw.Prevention","Internet exposed Application Gateways should use prevention mode to protect backend resources.","Critical"
"Azure.AppGw.SSLPolicy","Application Gateway should only accept a minimum of TLS 1.2.","Critical"
"Azure.AppGw.UseHTTPS","Application Gateways should only expose frontend HTTP endpoints over HTTPS.","Critical"
"Azure.AppGw.UseWAF","Internet accessible Application Gateways should use protect endpoints with WAF.","Critical"
"Azure.AppGw.WAFEnabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical"
"Azure.AppGw.WAFRules","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Important"
"Azure.AppGwWAF.Enabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical"
"Azure.AppGwWAF.Exclusions","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Critical"
"Azure.AppGwWAF.PreventionMode","Use protection mode in Application Gateway Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.AppGwWAF.RuleGroups","Use recommended rule groups in Application Gateway Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.AppInsights.LocalAuth","Local authentication allows depersonalized access to store telemetry in Application Insights using a shared identifier.","Critical"
"Azure.AppService.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.AppService.MinTLS","App Service should not accept weak or deprecated transport protocols for client-server communication.","Critical"
"Azure.AppService.NETVersion","Configure applications to use newer .NET versions.","Important"
"Azure.AppService.NodeJsVersion","Configure applications to use supported Node.js runtime versions.","Important"
"Azure.AppService.PHPVersion","Configure applications to use newer PHP runtime versions.","Important"
"Azure.AppService.RemoteDebug","Disable remote debugging on App Service apps when not in use.","Important"
"Azure.AppService.UseHTTPS","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.AppService.WebSecureFtp","Web apps should disable insecure FTP and configure SFTP when required.","Important"
"Azure.Automation.AuditLogs","Ensure automation account audit diagnostic logs are enabled.","Important"
"Azure.Automation.EncryptVariables","Azure Automation variables should be encrypted.","Important"
"Azure.Automation.ManagedIdentity","Ensure Managed Identity is used for authentication.","Important"
"Azure.Automation.WebHookExpiry","Do not create webhooks with an expiry time greater than 1 year (default).","Awareness"
"Azure.BV.Immutable","Ensure immutability is configured to protect backup data.","Important"
"Azure.CDN.HTTP","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.CDN.MinTLS","Azure CDN endpoints should reject TLS versions older than 1.2.","Important"
