"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACI.Naming","Container Instance resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.ACR.Name","Container registry names should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.ACR.Naming","Container Registry resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.AI.FoundryNaming","Azure AI Foundry accounts without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.AKS.ContainerInsights","Enable Container insights to monitor AKS cluster workloads.","Important","Operational Excellence","-"
"Azure.AKS.DNSPrefix","Azure Kubernetes Service (AKS) cluster DNS prefix should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AKS.Name","Azure Kubernetes Service (AKS) cluster names should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.AKS.Naming","AKS cluster resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.AKS.PlatformLogs","AKS clusters should collect platform diagnostic logs to monitor the state of workloads.","Important","Operational Excellence","-"
"Azure.AKS.SystemPoolNaming","AKS system node pool resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.AKS.UserPoolNaming","AKS user node pool resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.APIM.APIDescriptors","APIs should have a display name and description.","Awareness","Operational Excellence","-"
"Azure.APIM.MinAPIVersion","API Management instances should limit control plane API calls to API Management with version '2021-08-01' or newer.","Important","Operational Excellence","-"
"Azure.APIM.Name","API Management service names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.APIM.ProductDescriptors","API Management products should have a display name and description.","Awareness","Operational Excellence","-"
"Azure.AppConfig.Name","App Configuration store names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppGw.MigrateV2","Use a Application Gateway v2 SKU.","Important","Operational Excellence","-"
"Azure.AppGw.MinSku","Application Gateway should use a minimum instance size of Medium.","Important","Operational Excellence","-"
"Azure.AppGw.Name","Application Gateways should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Name","Azure Resource Manager (ARM) has requirements for Application Insights resource names.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Naming","Application Insights resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Workspace","Configure Application Insights resources to store data in a workspace.","Important","Operational Excellence","-"
"Azure.ASE.MigrateV3","Use ASEv3 as replacement for the classic app service environment versions ASEv1 and ASEv2.","Important","Operational Excellence","-"
"Azure.ASG.Name","Application Security Group (ASG) names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Automation.PlatformLogs","Ensure automation account platform diagnostic logs are enabled.","Important","Operational Excellence","-"
"Azure.Bastion.Name","Bastion hosts should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.CDN.EndpointName","Azure CDN Endpoint names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.ContainerApp.APIVersion","Migrate from retired API version to a supported version.","Important","Operational Excellence","-"
"Azure.ContainerApp.EnvNaming","Container App Environment resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.ContainerApp.JobNaming","Container App Job resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.ContainerApp.Name","Container Apps should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.ContainerApp.Naming","Container App resources without a standard naming convention may be difficult to identify and manage.","Awareness","Operational Excellence","L2"
"Azure.Cosmos.AccountName","Cosmos DB account names should meet naming requirements.","Awareness","Operational Excellence","L2"
