"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACR.Usage","Regularly remove deprecated and unneeded images to reduce storage usage.","Important","Cost Optimization","-"
"Azure.ADX.Usage","Regularly remove unused resources to reduce costs.","Important","Cost Optimization","-"
"Azure.AKS.AuditAdmin","Use kube-audit-admin instead of kube-audit to capture administrative actions in AKS clusters.","Important","Cost Optimization","-"
"Azure.Alert.HighFrequencyQuery","High frequency scheduled queries are changed as a higher rate than low frequency queries.","Important","Cost Optimization","-"
"Azure.Alert.MetricAutoMitigate","Alerts that require manual intervention for mitigation can lead to increased personnel time and effort.","Important","Cost Optimization","-"
"Azure.DevBox.ProjectLimit","Limit the number of Dev Boxes a single user can create for a project.","Important","Cost Optimization","-"
"Azure.EventHub.Usage","Regularly remove unused resources to reduce costs.","Important","Cost Optimization","-"
"Azure.FrontDoor.State","Enable Azure Front Door Classic instance.","Important","Cost Optimization","-"
"Azure.ML.ComputeIdleShutdown","Configure an idle shutdown timeout for Machine Learning compute instances.","Critical","Cost Optimization","-"
"Azure.NIC.Attached","Network interfaces (NICs) that are not used should be removed.","Awareness","Cost Optimization","-"
"Azure.NSG.Associated","Network Security Groups (NSGs) should be associated to a subnet or network interface.","Awareness","Cost Optimization","-"
"Azure.Resource.UseTags","Azure resources should be tagged using a standard convention.","Awareness","Cost Optimization","-"
"Azure.ServiceBus.Usage","Regularly remove unused resources to reduce costs.","Important","Cost Optimization","-"
"Azure.VM.DiskAttached","Managed disks should be attached to virtual machines or removed.","Important","Cost Optimization","-"
"Azure.VM.DiskSizeAlignment","Align to the Managed Disk billing increments to improve cost efficiency.","Awareness","Cost Optimization","-"
"Azure.VM.MultiTenantHosting","Deploy Windows 10 and 11 virtual machines in Azure using Multi-tenant Hosting Rights to leverage your existing Windows licenses.","Awareness","Cost Optimization","-"
"Azure.VM.PromoSku","Virtual machines (VMs) should not use expired promotional SKU.","Awareness","Cost Optimization","-"
"Azure.VM.ShouldNotBeStopped","Azure Virtual Machines in a stopped state are still allocated and billed for compute usage.","Important","Cost Optimization","-"
"Azure.VM.UseHybridUseBenefit","Use Azure Hybrid Benefit for applicable virtual machine (VM) workloads.","Awareness","Cost Optimization","-"
