"Name","Synopsis","Severity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical"
"Azure.ACR.AnonymousAccess","Anonymous pull access allows unidentified downloading of images and metadata from a container registry.","Important"
"Azure.ACR.ContainerScan","Container images or their base images may have vulnerabilities discovered after they are built.","Critical"
"Azure.ACR.Firewall","Container Registry without restrictions can be accessed from any network location including the Internet.","Important"
"Azure.ACR.ImageHealth","Remove container images with known vulnerabilities.","Critical"
"Azure.ADX.DiskEncryption","Use disk encryption for Azure Data Explorer (ADX) clusters.","Important"
"Azure.ADX.ManagedIdentity","Configure Data Explorer clusters to use managed identities to access Azure resources securely.","Important"
"Azure.AI.DisableLocalAuth","Access keys allow depersonalized access to Azure AI using a shared secret.","Important"
"Azure.AI.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.AI.PrivateEndpoints","Use Private Endpoints to access Azure AI services accounts.","Important"
"Azure.AI.PublicAccess","Restrict access of Azure AI services to authorized virtual networks.","Important"
"Azure.AKS.AuditLogs","AKS clusters should collect security-based audit logs to assess and monitor the compliance status of workloads.","Important"
"Azure.AKS.AuthorizedIPs","Restrict access to API server endpoints to authorized IP addresses.","Important"
"Azure.AKS.AutoUpgrade","New versions of Kubernetes are released regularly. Upgrading each release manually can add operational overhead without realizing equivalent value.","Important"
"Azure.AKS.AzurePolicyAddOn","Configure Azure Kubernetes Service (AKS) clusters to use Azure Policy Add-on for Kubernetes.","Important"
"Azure.AKS.AzureRBAC","Use Azure RBAC for Kubernetes Authorization with AKS clusters.","Important"
"Azure.AKS.ContainerInsights","Enable Container insights to monitor AKS cluster workloads.","Important"
"Azure.AKS.HttpAppRouting","Disable HTTP application routing add-on in AKS clusters.","Important"
"Azure.AKS.LocalAccounts","Enforce named user accounts with RBAC assigned permissions.","Important"
"Azure.AKS.ManagedAAD","Use AKS-managed Azure AD to simplify authorization and improve security.","Important"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important"
"Azure.AKS.PlatformLogs","AKS clusters should collect platform diagnostic logs to monitor the state of workloads.","Important"
"Azure.AKS.SecretStore","Deploy AKS clusters with Secrets Store CSI Driver and store Secrets in Key Vault.","Important"
"Azure.AKS.SecretStoreRotation","Enable autorotation of Secrets Store CSI Driver secrets for AKS clusters.","Important"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important"
"Azure.APIM.Ciphers","API Management should not accept weak or deprecated ciphers for client or backend communication.","Critical"
"Azure.APIM.DefenderCloud","APIs published in Azure API Management should be onboarded to Microsoft Defender for APIs.","Critical"
"Azure.APIM.EncryptValues","Encrypt all API Management named values with Key Vault secrets.","Important"
"Azure.APIM.HTTPBackend","Unencrypted communication could allow disclosure of information to an untrusted party.","Critical"
"Azure.APIM.HTTPEndpoint","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.APIM.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.APIM.Protocols","API Management should only accept a minimum of TLS 1.2 for client and backend communication.","Critical"
"Azure.AppConfig.AuditLogs","Ensure app configuration store audit diagnostic logs are enabled.","Important"
"Azure.AppConfig.DisableLocalAuth","Access keys allow depersonalized access to App Configuration using a shared secret.","Important"
"Azure.AppConfig.SecretLeak","Secrets stored as key values in an App Configuration Store may be leaked to unauthorized users.","Critical"
"Azure.AppGw.SSLPolicy","Application Gateway should only accept a minimum of TLS 1.2.","Critical"
"Azure.AppGw.UseHTTPS","Application Gateways should only expose frontend HTTP endpoints over HTTPS.","Critical"
"Azure.AppGw.UseWAF","Internet accessible Application Gateways should use protect endpoints with WAF.","Critical"
"Azure.AppGw.WAFEnabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical"
"Azure.AppService.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.AppService.MinTLS","App Service should not accept weak or deprecated transport protocols for client-server communication.","Critical"
"Azure.AppService.RemoteDebug","Disable remote debugging on App Service apps when not in use.","Important"
"Azure.AppService.UseHTTPS","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.AppService.WebSecureFtp","Web apps should disable insecure FTP and configure SFTP when required.","Important"
"Azure.Automation.AuditLogs","Ensure automation account audit diagnostic logs are enabled.","Important"
"Azure.Automation.EncryptVariables","Azure Automation variables should be encrypted.","Important"
"Azure.Automation.ManagedIdentity","Ensure Managed Identity is used for authentication.","Important"
"Azure.BV.Immutable","Ensure immutability is configured to protect backup data.","Important"
"Azure.CDN.HTTP","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.ContainerApp.Insecure","Ensure insecure inbound traffic is not permitted to the container app.","Important"
"Azure.ContainerApp.ManagedIdentity","Ensure managed identity is used for authentication.","Important"
"Azure.ContainerApp.PublicAccess","Ensure public network access for Container Apps environment is disabled.","Important"
"Azure.ContainerApp.RestrictIngress","IP ingress restrictions mode should be set to allow action for all rules defined.","Important"
"Azure.Cosmos.DefenderCloud","Enable Microsoft Defender for Azure Cosmos DB.","Critical"
"Azure.Cosmos.DisableLocalAuth","Access keys allow depersonalized access to Cosmos DB accounts using a shared secret.","Critical"
"Azure.Cosmos.DisableMetadataWrite","Use Entra ID identities for management place operations in Azure Cosmos DB.","Important"
"Azure.Cosmos.PublicAccess","Azure Cosmos DB should have public network access disabled.","Critical"
"Azure.Defender.Api","Enable Microsoft Defender for APIs.","Critical"
"Azure.Defender.AppServices","Enable Microsoft Defender for App Service.","Critical"
"Azure.Defender.Arm","Enable Microsoft Defender for Azure Resource Manager (ARM).","Critical"
"Azure.Defender.Containers","Enable Microsoft Defender for Containers.","Critical"
"Azure.Defender.CosmosDb","Enable Microsoft Defender for Azure Cosmos DB.","Critical"
"Azure.Defender.Cspm","Enable Microsoft Defender Cloud Security Posture Management Standard plan.","Critical"
"Azure.Defender.Dns","Enable Microsoft Defender for DNS.","Critical"
"Azure.Defender.KeyVault","Enable Microsoft Defender for Key Vault.","Critical"
"Azure.Defender.OssRdb","Enable Microsoft Defender for open-source relational databases.","Critical"
"Azure.Defender.Servers","Enable Microsoft Defender for Servers.","Critical"
"Azure.Defender.SQL","Enable Microsoft Defender for SQL servers.","Critical"
"Azure.Defender.SQLOnVM","Enable Microsoft Defender for SQL servers on machines.","Critical"
"Azure.Defender.Storage","Enable Microsoft Defender for Storage.","Critical"
