"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.ACR.AdminUser","The local admin account allows depersonalized access to a container registry using a shared secret.","Critical","Security","L1"
"Azure.ACR.ContainerScan","Container images or their base images may have vulnerabilities discovered after they are built.","Critical","Security","-"
"Azure.ACR.ImageHealth","Remove container images with known vulnerabilities.","Critical","Security","L2"
"Azure.ACR.MinSku","The Basic SKU provides limited performance and features for production container registry workloads.","Important","Reliability","-"
"Azure.ACR.Name","Container registry names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.ACR.Usage","Regularly remove deprecated and unneeded images to reduce storage usage.","Important","Cost Optimization","-"
"Azure.AKS.AuditLogs","AKS clusters should collect security-based audit logs to assess and monitor the compliance status of workloads.","Important","Security","L1"
"Azure.AKS.AuthorizedIPs","Restrict access to API server endpoints to authorized IP addresses.","Important","Security","-"
"Azure.AKS.AutoScaling","Use autoscaling to scale clusters based on workload requirements.","Important","Performance Efficiency","-"
"Azure.AKS.AvailabilityZone","AKS clusters deployed with virtual machine scale sets should use availability zones in supported regions for high availability.","Important","Reliability","-"
"Azure.AKS.AzurePolicyAddOn","Configure Azure Kubernetes Service (AKS) clusters to use Azure Policy Add-on for Kubernetes.","Important","Security","-"
"Azure.AKS.AzureRBAC","Use Azure RBAC for Kubernetes Authorization with AKS clusters.","Important","Security","-"
"Azure.AKS.CNISubnetSize","AKS clusters using Azure CNI should use large subnets to reduce IP exhaustion issues.","Important","Reliability","-"
"Azure.AKS.ContainerInsights","Enable Container insights to monitor AKS cluster workloads.","Important","Operational Excellence","-"
"Azure.AKS.DNSPrefix","Azure Kubernetes Service (AKS) cluster DNS prefix should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AKS.ManagedAAD","Use AKS-managed Azure AD to simplify authorization and improve security.","Important","Security","L1"
"Azure.AKS.ManagedIdentity","Configure AKS clusters to use managed identities for managing cluster infrastructure.","Important","Security","L1"
"Azure.AKS.MinNodeCount","AKS clusters should have minimum number of system nodes for failover and updates.","Important","Reliability","-"
"Azure.AKS.Name","Azure Kubernetes Service (AKS) cluster names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AKS.NetworkPolicy","AKS clusters without inter-pod network restrictions may be permit unauthorized lateral movement.","Important","Security","-"
"Azure.AKS.NodeMinPods","Azure Kubernetes Cluster (AKS) nodes should use a minimum number of pods.","Important","Performance Efficiency","-"
"Azure.AKS.PlatformLogs","AKS clusters should collect platform diagnostic logs to monitor the state of workloads.","Important","Operational Excellence","-"
"Azure.AKS.PoolScaleSet","Deploy AKS clusters with nodes pools based on VM scale sets.","Important","Performance Efficiency","-"
"Azure.AKS.PoolVersion","AKS node pools should match Kubernetes control plane version.","Important","Reliability","-"
"Azure.AKS.StandardLB","Azure Kubernetes Clusters (AKS) should use a Standard load balancer SKU.","Important","Performance Efficiency","-"
"Azure.AKS.UseRBAC","Deploy AKS cluster with role-based access control (RBAC) enabled.","Important","Security","-"
"Azure.AKS.Version","Older versions of Kubernetes may have known bugs or security vulnerabilities, and may have limited support.","Important","Reliability","-"
"Azure.APIM.APIDescriptors","APIs should have a display name and description.","Awareness","Operational Excellence","-"
"Azure.APIM.CertificateExpiry","Renew certificates used for custom domain bindings.","Important","Reliability","-"
"Azure.APIM.HTTPBackend","Unencrypted communication could allow disclosure of information to an untrusted party.","Critical","Security","L1"
"Azure.APIM.HTTPEndpoint","Unencrypted communication could allow disclosure of information to an untrusted party.","Important","Security","L1"
"Azure.APIM.ManagedIdentity","Configure managed identities to access Azure resources.","Important","Security","L1"
"Azure.APIM.Name","API Management service names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.APIM.ProductApproval","Configure products to require approval.","Important","Security","-"
"Azure.APIM.ProductDescriptors","API Management products should have a display name and description.","Awareness","Operational Excellence","-"
"Azure.APIM.ProductSubscription","Configure products to require a subscription.","Important","Security","-"
"Azure.APIM.Protocols","API Management should only accept a minimum of TLS 1.2 for client and backend communication.","Critical","Security","L1"
"Azure.APIM.SampleProducts","API Management Services with default products configured may expose more APIs than intended.","Awareness","Security","-"
"Azure.AppConfig.Name","App Configuration store names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppConfig.SKU","App Configuration should use a minimum size of Standard.","Important","Reliability","-"
"Azure.AppGw.AvailabilityZone","Application Gateway (App Gateway) should use availability zones in supported regions for improved resiliency.","Important","Reliability","-"
"Azure.AppGw.MinInstance","Application Gateways should use a minimum of two instances.","Important","Reliability","-"
"Azure.AppGw.MinSku","Application Gateway should use a minimum instance size of Medium.","Important","Operational Excellence","-"
"Azure.AppGw.OWASP","Application Gateway Web Application Firewall (WAF) should use OWASP 3.x rules.","Important","Security","-"
"Azure.AppGw.Prevention","Internet exposed Application Gateways should use prevention mode to protect backend resources.","Critical","Security","-"
"Azure.AppGw.SSLPolicy","Application Gateway should only accept a minimum of TLS 1.2.","Critical","Security","L1"
"Azure.AppGw.UseHTTPS","Application Gateways should only expose frontend HTTP endpoints over HTTPS.","Critical","Security","L1"
"Azure.AppGw.UseWAF","Internet accessible Application Gateways should use protect endpoints with WAF.","Critical","Security","-"
"Azure.AppGw.WAFEnabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical","Security","-"
"Azure.AppGw.WAFRules","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Important","Security","-"
"Azure.AppInsights.Name","Azure Resource Manager (ARM) has requirements for Application Insights resource names.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Workspace","Configure Application Insights resources to store data in a workspace.","Important","Operational Excellence","-"
"Azure.AppService.AlwaysOn","Configure Always On for App Service apps.","Important","Reliability","-"
"Azure.AppService.ARRAffinity","Disable client affinity for stateless services.","Awareness","Performance Efficiency","-"
"Azure.AppService.HTTP2","Use HTTP/2 instead of HTTP/1.x to improve protocol efficiency.","Awareness","Performance Efficiency","-"
"Azure.AppService.ManagedIdentity","Configure managed identities to access Azure resources.","Important","Security","L1"
"Azure.AppService.MinPlan","Use at least a Standard App Service Plan.","Important","Performance Efficiency","-"
"Azure.AppService.MinTLS","App Service should not accept weak or deprecated transport protocols for client-server communication.","Critical","Security","L1"
"Azure.AppService.PlanInstanceCount","App Service Plan should use a minimum number of instances for failover.","Important","Reliability","-"
"Azure.AppService.RemoteDebug","Disable remote debugging on App Service apps when not in use.","Important","Security","-"
"Azure.AppService.UseHTTPS","Unencrypted communication could allow disclosure of information to an untrusted party.","Important","Security","-"
"Azure.Automation.EncryptVariables","Azure Automation variables should be encrypted.","Important","Security","-"
"Azure.Automation.WebHookExpiry","Do not create webhooks with an expiry time greater than 1 year (default).","Awareness","Security","-"
"Azure.CDN.EndpointName","Azure CDN Endpoint names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.CDN.HTTP","Unencrypted communication could allow disclosure of information to an untrusted party.","Important","Security","-"
"Azure.CDN.MinTLS","Azure CDN endpoints should reject TLS versions older than 1.2.","Important","Security","L1"
"Azure.Cosmos.AccountName","Cosmos DB account names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Cosmos.DisableMetadataWrite","Use Entra ID identities for management place operations in Azure Cosmos DB.","Important","Security","-"
"Azure.DataFactory.Version","Consider migrating to DataFactory v2.","Awareness","Reliability","-"
"Azure.DefenderCloud.Provisioning","Enable auto-provisioning on to improve Microsoft Defender for Cloud insights.","Important","Security","-"
"Azure.Firewall.Mode","Deny high confidence malicious IP addresses and domains on classic managed Azure Firewalls.","Critical","Security","-"
"Azure.FrontDoor.MinTLS","Front Door Classic instances should reject TLS versions older than 1.2.","Critical","Security","L1"
"Azure.FrontDoor.Name","Front Door names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.FrontDoor.Probe","Use health probes to check the health of each backend.","Important","Reliability","-"
